FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
103772,103776,Danaus plexippus,Insecta,Lepidoptera,2019,10,28,-121.035841,37.067494,0,HUMAN_OBSERVATION,
103791,103795,Buteo swainsoni,Aves,Accipitriformes,2020,4,2,-120.825822,37.189342,0,HUMAN_OBSERVATION,
103878,103882,Buteo swainsoni,Aves,Accipitriformes,2019,3,30,-120.725517,37.278381,0,HUMAN_OBSERVATION,
103911,103915,Ammospermophilus nelsoni,Mammalia,Rodentia,2010,8,21,-120.748934,36.407865,0,HUMAN_OBSERVATION,
104033,104037,Ammospermophilus nelsoni,Mammalia,Rodentia,2021,4,6,-119.743038,35.016112,0,HUMAN_OBSERVATION,
104078,104082,Ammospermophilus nelsoni,Mammalia,Rodentia,2020,3,28,-120.710814,36.713004,0,HUMAN_OBSERVATION,
104186,104190,Agelaius tricolor,Aves,Passeriformes,2019,4,14,-121.0625,37.043,2000,HUMAN_OBSERVATION,
104188,104192,Agelaius tricolor,Aves,Passeriformes,2018,5,14,-121.06447,37.02791,1,HUMAN_OBSERVATION,Mojave
104189,104193,Buteo swainsoni,Aves,Accipitriformes,2015,7,8,-119.41615,36.31042,1,HUMAN_OBSERVATION,San Joaquin
104191,104195,Agelaius tricolor,Aves,Passeriformes,2019,5,22,-119.55631,34.90029,60,HUMAN_OBSERVATION,San Joaquin
104194,104198,Buteo swainsoni,Aves,Accipitriformes,2020,2,18,-120.61949,37.182343,1,HUMAN_OBSERVATION,San Joaquin
104196,104200,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,11,17,-120.626495,37.17769,1,HUMAN_OBSERVATION,
104203,104207,Agelaius tricolor,Aves,Passeriformes,2012,12,25,-119.59336,35.7592,0,HUMAN_OBSERVATION,
104211,104215,Haliaeetus leucocephalus,Aves,Accipitriformes,2003,3,1,-120.626495,37.17769,1,HUMAN_OBSERVATION,
104256,104260,Agelaius tricolor,Aves,Passeriformes,2018,2,10,-120.62293,37.17994,75,HUMAN_OBSERVATION,Sonoran
104267,104271,Buteo swainsoni,Aves,Accipitriformes,2019,6,4,-120.873055,37.055103,2,HUMAN_OBSERVATION,
104276,104280,Agelaius tricolor,Aves,Passeriformes,2017,4,29,-120.84686,36.76089,10,HUMAN_OBSERVATION,
104282,104286,Buteo swainsoni,Aves,Accipitriformes,2020,5,11,-119.88143,36.37658,4,HUMAN_OBSERVATION,
104283,104287,Agelaius tricolor,Aves,Passeriformes,2011,5,15,-119.64489,35.934444,4,HUMAN_OBSERVATION,
104289,104293,Agelaius tricolor,Aves,Passeriformes,1989,7,9,-120.3195,36.7159,100,HUMAN_OBSERVATION,
104291,104295,Agelaius tricolor,Aves,Passeriformes,2020,4,25,-120.75816,36.59512,50,HUMAN_OBSERVATION,
104309,104313,Buteo swainsoni,Aves,Accipitriformes,2015,7,6,-119.71699,36.13836,2,HUMAN_OBSERVATION,
104311,104315,Agelaius tricolor,Aves,Passeriformes,2013,5,19,-120.94025,37.09777,200,HUMAN_OBSERVATION,
