obsID,obsYear,month,day,species,class,order,indvdlC,fireID
47495,2014,4,5,Buteo swainsoni,Aves,Accipitriformes,1,1109
47564,2010,2,6,Melanerpes uropygialis,Aves,Piciformes,1,360
47641,2014,3,28,Agelaius tricolor,Aves,Passeriformes,10,1112
47772,2019,5,11,Empidonax traillii,Aves,Passeriformes,1,1109
48118,1972,6,4,Empidonax traillii,Aves,Passeriformes,1,271
48357,2017,10,10,Gymnogyps californianus,Aves,Accipitriformes,7,1094
48914,2018,12,21,Haliaeetus leucocephalus,Aves,Accipitriformes,1,727
48914,2018,12,21,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
48914,2018,12,21,Haliaeetus leucocephalus,Aves,Accipitriformes,1,938
48914,2018,12,21,Haliaeetus leucocephalus,Aves,Accipitriformes,1,971
50520,2019,6,7,Colaptes chrysoides,Aves,Piciformes,2,1109
51396,2015,1,29,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
51694,2017,4,15,Colaptes chrysoides,Aves,Piciformes,2,1109
51865,2020,7,22,Buteo swainsoni,Aves,Accipitriformes,1,929
51941,1983,6,10,Agelaius tricolor,Aves,Passeriformes,1,968
52606,1999,5,7,Empidonax traillii,Aves,Passeriformes,1,271
52713,2013,5,20,Buteo swainsoni,Aves,Accipitriformes,1,873
53958,2019,3,24,Buteo swainsoni,Aves,Accipitriformes,1,929
54135,1974,9,19,Empidonax traillii,Aves,Passeriformes,1,271
55036,2019,5,18,Colaptes chrysoides,Aves,Piciformes,1,1109
55741,2019,5,27,Riparia riparia,Aves,Passeriformes,10,291
55904,2009,5,3,Buteo swainsoni,Aves,Accipitriformes,1,856
55996,2017,5,27,Empidonax traillii,Aves,Passeriformes,1,291
57722,2015,5,25,Colaptes chrysoides,Aves,Piciformes,1,1109
57964,2018,11,25,Colaptes chrysoides,Aves,Piciformes,1,1109
58616,2013,5,20,Buteo swainsoni,Aves,Accipitriformes,1,873
58734,2015,6,30,Buteo swainsoni,Aves,Accipitriformes,1,873
60188,2010,5,22,Buteo swainsoni,Aves,Accipitriformes,1,1109
60303,2010,5,22,Colaptes chrysoides,Aves,Piciformes,1,1109
60704,2017,3,17,Colaptes chrysoides,Aves,Piciformes,1,1109
60858,2003,3,8,Agelaius tricolor,Aves,Passeriformes,1,1107
61437,2015,12,3,Haliaeetus leucocephalus,Aves,Accipitriformes,3,873
61622,2019,9,7,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
61622,2019,9,7,Haliaeetus leucocephalus,Aves,Accipitriformes,1,938
61680,2013,12,28,Colaptes chrysoides,Aves,Piciformes,2,1109
62102,2014,5,23,Empidonax traillii,Aves,Passeriformes,2,1086
62450,2020,12,1,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
63719,2010,4,21,Agelaius tricolor,Aves,Passeriformes,8,512
63795,2018,9,26,Empidonax traillii,Aves,Passeriformes,1,873
65513,2017,5,28,Buteo swainsoni,Aves,Accipitriformes,2,721
65983,2012,4,2,Buteo swainsoni,Aves,Accipitriformes,1,941
67005,2015,3,9,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
67019,2015,7,11,Haliaeetus leucocephalus,Aves,Accipitriformes,2,873
67063,2014,4,24,Buteo swainsoni,Aves,Accipitriformes,2,1112
68034,2020,10,17,Colaptes chrysoides,Aves,Piciformes,1,1109
68172,2015,12,3,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
68230,2003,5,31,Empidonax traillii,Aves,Passeriformes,1,263
69094,2014,3,24,Colaptes chrysoides,Aves,Piciformes,1,1109
69708,2016,1,30,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
70901,2019,5,27,Riparia riparia,Aves,Passeriformes,10,291
71032,2013,8,31,Empidonax traillii,Aves,Passeriformes,1,565
71509,1985,8,14,Empidonax traillii,Aves,Passeriformes,1,565
71809,2005,5,24,Empidonax traillii,Aves,Passeriformes,1,291
73073,2013,8,8,Colaptes chrysoides,Aves,Piciformes,1,1109
73720,2009,5,23,Empidonax traillii,Aves,Passeriformes,1,941
73819,2011,5,16,Empidonax traillii,Aves,Passeriformes,3,414
73819,2011,5,16,Empidonax traillii,Aves,Passeriformes,3,508
74015,2009,6,15,Empidonax traillii,Aves,Passeriformes,1,291
74796,2005,6,2,Empidonax traillii,Aves,Passeriformes,1,291
75406,2015,12,2,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
75412,2017,7,27,Colaptes chrysoides,Aves,Piciformes,1,565
75698,2008,5,29,Empidonax traillii,Aves,Passeriformes,1,291
75946,2016,2,27,Buteo swainsoni,Aves,Accipitriformes,2,873
76062,2014,3,13,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
76217,2001,6,2,Empidonax traillii,Aves,Passeriformes,1,414
76217,2001,6,2,Empidonax traillii,Aves,Passeriformes,1,508
76475,2014,5,23,Riparia riparia,Aves,Passeriformes,4,392
77381,2010,5,22,Colaptes chrysoides,Aves,Piciformes,1,1109
77701,2010,5,22,Colaptes chrysoides,Aves,Piciformes,1,1109
77902,2009,6,23,Buteo swainsoni,Aves,Accipitriformes,1,929
78221,2009,4,26,Riparia riparia,Aves,Passeriformes,1,291
78514,2015,4,18,Buteo swainsoni,Aves,Accipitriformes,1,941
79456,2010,4,11,Colaptes chrysoides,Aves,Piciformes,1,1109
81035,2014,5,17,Colaptes chrysoides,Aves,Piciformes,1,1109
81296,2017,5,2,Agelaius tricolor,Aves,Passeriformes,8,1086
81563,2014,6,6,Agelaius tricolor,Aves,Passeriformes,3,1112
83818,2002,6,11,Empidonax traillii,Aves,Passeriformes,1,351
83924,2020,9,22,Buteo swainsoni,Aves,Accipitriformes,1,1112
84072,2012,1,17,Agelaius tricolor,Aves,Passeriformes,1,929
84263,1972,7,5,Colaptes chrysoides,Aves,Piciformes,2,1109
84582,2019,5,19,Colaptes chrysoides,Aves,Piciformes,1,1109
84657,2019,5,11,Empidonax traillii,Aves,Passeriformes,1,1109
85081,2016,4,10,Buteo swainsoni,Aves,Accipitriformes,1,417
85907,2020,6,13,Colaptes chrysoides,Aves,Piciformes,1,565
86225,2015,10,3,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
86860,2019,4,13,Buteo swainsoni,Aves,Accipitriformes,2,565
87102,2016,1,30,Haliaeetus leucocephalus,Aves,Accipitriformes,1,939
87510,2019,5,24,Agelaius tricolor,Aves,Passeriformes,1,1110
88530,2017,3,18,Colaptes chrysoides,Aves,Piciformes,2,1109
88541,2016,1,30,Haliaeetus leucocephalus,Aves,Accipitriformes,1,929
88821,2004,6,5,Empidonax traillii,Aves,Passeriformes,1,263
89057,2011,6,15,Melanerpes uropygialis,Aves,Piciformes,2,368
91335,2016,5,13,Buteo swainsoni,Aves,Accipitriformes,2,873
91830,2012,4,17,Agelaius tricolor,Aves,Passeriformes,969,418
92585,2017,9,24,Empidonax traillii,Aves,Passeriformes,1,873
92605,2019,5,11,Empidonax traillii,Aves,Passeriformes,1,1109
93193,2019,11,3,Haliaeetus leucocephalus,Aves,Accipitriformes,1,873
94400,2012,2,3,Haliaeetus leucocephalus,Aves,Accipitriformes,1,1094
96104,1999,3,27,Agelaius tricolor,Aves,Passeriformes,1,941
96723,1998,6,7,Colaptes chrysoides,Aves,Piciformes,2,1109
96943,2013,8,31,Colaptes chrysoides,Aves,Piciformes,1,1109
97645,2020,6,13,Colaptes chrysoides,Aves,Piciformes,2,1109
97657,1999,3,30,Agelaius tricolor,Aves,Passeriformes,1,941
99187,2011,6,15,Empidonax traillii,Aves,Passeriformes,1,368
99643,2013,4,10,Riparia riparia,Aves,Passeriformes,1,271
99859,2014,6,21,Colaptes chrysoides,Aves,Piciformes,1,1109
100463,2014,6,6,Haliaeetus leucocephalus,Aves,Accipitriformes,1,1112
100513,2019,5,12,Colaptes chrysoides,Aves,Piciformes,1,1109
100790,2016,4,23,Colaptes chrysoides,Aves,Piciformes,1,1109
100805,1973,6,25,Colaptes chrysoides,Aves,Piciformes,1,1109
