County,FIPS,MapDate,DSCI
Fresno County,6019,20120605,207
Fresno County,6019,20120612,207
Fresno County,6019,20120619,207
Fresno County,6019,20120626,207
Fresno County,6019,20120703,208
Fresno County,6019,20120710,208
Fresno County,6019,20120717,208
Fresno County,6019,20120724,250
Fresno County,6019,20120731,208
Fresno County,6019,20120807,208
Fresno County,6019,20120814,208
Fresno County,6019,20120821,208
Fresno County,6019,20120828,207
Fresno County,6019,20120904,207
Fresno County,6019,20120911,207
Fresno County,6019,20120918,207
Fresno County,6019,20120925,207
Fresno County,6019,20121002,204
Fresno County,6019,20121009,204
Fresno County,6019,20121016,204
Fresno County,6019,20121023,204
Fresno County,6019,20121030,204
Fresno County,6019,20121106,204
Fresno County,6019,20121113,204
Fresno County,6019,20121120,207
Fresno County,6019,20121127,207
Fresno County,6019,20121204,199
Fresno County,6019,20121211,199
Fresno County,6019,20121218,199
Fresno County,6019,20121225,199
Fresno County,6019,20130101,199
Fresno County,6019,20130108,199
Fresno County,6019,20130115,199
Fresno County,6019,20130122,199
Fresno County,6019,20130129,199
Fresno County,6019,20130205,199
Fresno County,6019,20130212,203
Fresno County,6019,20130219,203
Fresno County,6019,20130226,264
Fresno County,6019,20130305,264
Fresno County,6019,20130312,257
Fresno County,6019,20130319,261
Fresno County,6019,20130326,261
Fresno County,6019,20130402,261
Fresno County,6019,20130409,261
Fresno County,6019,20130416,261
Fresno County,6019,20130423,280
Fresno County,6019,20130430,280
Fresno County,6019,20130507,300
Fresno County,6019,20130514,300
Fresno County,6019,20130521,300
Fresno County,6019,20130528,300
Fresno County,6019,20130604,300
Fresno County,6019,20130611,300
Fresno County,6019,20130618,300
Fresno County,6019,20130625,300
Fresno County,6019,20130702,300
Fresno County,6019,20130709,300
Fresno County,6019,20130716,300
Fresno County,6019,20130723,300
Fresno County,6019,20130730,300
Fresno County,6019,20130806,300
Fresno County,6019,20130813,308
Fresno County,6019,20130820,308
Fresno County,6019,20130827,308
Fresno County,6019,20130903,308
Fresno County,6019,20130910,308
Fresno County,6019,20130917,308
Fresno County,6019,20130924,308
Fresno County,6019,20131001,308
Fresno County,6019,20131008,308
Fresno County,6019,20131015,308
Fresno County,6019,20131022,308
Fresno County,6019,20131029,308
Fresno County,6019,20131105,308
Fresno County,6019,20131112,308
Fresno County,6019,20131119,399
Fresno County,6019,20131126,399
Fresno County,6019,20131203,399
Fresno County,6019,20131210,399
Fresno County,6019,20131217,399
Fresno County,6019,20131224,399
Fresno County,6019,20131231,399
Fresno County,6019,20140107,399
Fresno County,6019,20140114,400
Fresno County,6019,20140121,400
Fresno County,6019,20140128,442
Fresno County,6019,20140204,442
Fresno County,6019,20140211,442
Fresno County,6019,20140218,445
Fresno County,6019,20140225,500
Fresno County,6019,20140304,500
Fresno County,6019,20140311,500
Fresno County,6019,20140318,500
Fresno County,6019,20140325,500
Fresno County,6019,20140401,500
Fresno County,6019,20140408,500
Fresno County,6019,20140415,500
Fresno County,6019,20140422,500
Fresno County,6019,20140429,500
Fresno County,6019,20140506,500
Fresno County,6019,20140513,500
Fresno County,6019,20140520,500
Fresno County,6019,20140527,500
Fresno County,6019,20140603,500
Fresno County,6019,20140610,500
Fresno County,6019,20140617,500
Fresno County,6019,20140624,500
Fresno County,6019,20140701,500
Fresno County,6019,20140708,500
Fresno County,6019,20140715,500
Fresno County,6019,20140722,500
Fresno County,6019,20140729,500
Fresno County,6019,20140805,500
Fresno County,6019,20140812,500
Fresno County,6019,20140819,500
Fresno County,6019,20140826,500
Fresno County,6019,20140902,500
Fresno County,6019,20140909,500
Fresno County,6019,20140916,500
Fresno County,6019,20140923,500
Fresno County,6019,20140930,500
Fresno County,6019,20141007,500
Fresno County,6019,20141014,500
Fresno County,6019,20141021,500
Fresno County,6019,20141028,500
Fresno County,6019,20141104,500
Fresno County,6019,20141111,500
Fresno County,6019,20141118,500
Fresno County,6019,20141125,500
Fresno County,6019,20141202,500
Fresno County,6019,20141209,500
Fresno County,6019,20141216,500
Fresno County,6019,20141223,500
