FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
53508,Buteo swainsoni,Aves,Accipitriformes,2016,4,30,-121.024,37.08,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
53644,Melanerpes uropygialis,Aves,Piciformes,2019,1,2,-114.48765,34.74276,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
53770,Empidonax traillii,Aves,Passeriformes,1985,9,21,-116.457825,34.120792,1,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
54164,Melanerpes uropygialis,Aves,Piciformes,2017,1,9,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
54200,Melanerpes uropygialis,Aves,Piciformes,2013,5,3,-114.535,34.76573,0,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
54204,Colaptes chrysoides,Aves,Piciformes,2018,5,26,-115.55866,35.23258,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
54328,Melanerpes uropygialis,Aves,Piciformes,2013,8,12,-114.48765,34.74276,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
54348,Melanerpes uropygialis,Aves,Piciformes,2018,5,5,-114.69557,32.738663,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
54455,Melanerpes uropygialis,Aves,Piciformes,1973,12,18,-114.46656,32.88192,4,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
54574,Melanerpes uropygialis,Aves,Piciformes,2019,1,8,-114.73027,32.707115,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
54704,Melanerpes uropygialis,Aves,Piciformes,2020,10,28,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
54842,Buteo swainsoni,Aves,Accipitriformes,2019,6,15,-118.93152,34.942753,145,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946,2000,3679
54962,Melanerpes uropygialis,Aves,Piciformes,2006,12,15,-114.48251,34.733994,0,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
