usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	original_sciname	acceptedusagekey	note
2497430	Micrathene whitneyi (J.G.Cooper, 1861)	species	ACCEPTED	EXACT	Micrathene whitneyi	99	Animalia	Chordata	Strigiformes	Strigidae	Micrathene	Micrathene whitneyi	1	44	212	1450	9348	2497429	2497430	FALSE	Aves	Micrathene whitneyi	NA	NA
2497522	Strix nebulosa J.R.Forster, 1772	species	ACCEPTED	EXACT	Strix nebulosa	99	Animalia	Chordata	Strigiformes	Strigidae	Strix	Strix nebulosa	1	44	212	1450	9348	2497486	2497522	FALSE	Aves	Strix nebulosa	NA	NA
6176043	Strix occidentalis caurina (Merriam, 1898)	subspecies	ACCEPTED	EXACT	Strix occidentalis caurina	98	Animalia	Chordata	Strigiformes	Strigidae	Strix	Strix occidentalis	1	44	212	1450	9348	2497486	2497487	FALSE	Aves	Strix occidentalis caurina	NA	NA
2478248	Colaptes chrysoides (Malherbe, 1852)	species	ACCEPTED	EXACT	Colaptes chrysoides	99	Animalia	Chordata	Piciformes	Picidae	Colaptes	Colaptes chrysoides	1	44	212	724	9333	11016979	2478248	FALSE	Aves	Colaptes chrysoides	NA	NA
2478112	Melanerpes uropygialis (S.F.Baird, 1854)	species	ACCEPTED	EXACT	Melanerpes uropygialis	99	Animalia	Chordata	Piciformes	Picidae	Melanerpes	Melanerpes uropygialis	1	44	212	724	9333	2478067	2478112	FALSE	Aves	Melanerpes uropygialis	NA	NA
2482786	Empidonax traillii (Audubon, 1828)	species	ACCEPTED	EXACT	Empidonax traillii	99	Animalia	Chordata	Passeriformes	Tyrannidae	Empidonax	Empidonax traillii	1	44	212	729	5291	2482766	2482786	FALSE	Aves	Empidonax traillii	NA	NA
6174856	Empidonax traillii extimus A.R.Phillips, 1948	subspecies	ACCEPTED	EXACT	Empidonax traillii extimus	98	Animalia	Chordata	Passeriformes	Tyrannidae	Empidonax	Empidonax traillii	1	44	212	729	5291	2482766	2482786	FALSE	Aves	Empidonax traillii extimus	NA	NA
6172713	Lanius ludovicianus mearnsi Ridgway, 1903	subspecies	ACCEPTED	EXACT	Lanius ludovicianus mearnsi	98	Animalia	Chordata	Passeriformes	Laniidae	Lanius	Lanius ludovicianus	1	44	212	729	9315	2483315	2492870	FALSE	Aves	Lanius ludovicianus mearnsi	NA	NA
6175221	Vireo bellii arizonae Ridgway, 1903	subspecies	ACCEPTED	EXACT	Vireo bellii arizonae	98	Animalia	Chordata	Passeriformes	Vireonidae	Vireo	Vireo bellii	1	44	212	729	9358	2487406	2487441	FALSE	Aves	Vireo bellii arizonae	NA	NA
6175220	Vireo bellii pusillus Coues, 1866	subspecies	ACCEPTED	EXACT	Vireo bellii pusillus	98	Animalia	Chordata	Passeriformes	Vireonidae	Vireo	Vireo bellii	1	44	212	729	9358	2487406	2487441	FALSE	Aves	Vireo bellii pusillus	NA	NA
