obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
177644,Agelaius tricolor,Aves,Passeriformes,2016,10,3,-120.35032,35.83936,3,HUMAN_OBSERVATION,TURKEY,2012,2530.048,975,5000,15112
177650,Agelaius tricolor,Aves,Passeriformes,2020,6,6,-119.55631,34.90029,NA,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,5000,10399
177670,Agelaius tricolor,Aves,Passeriformes,2013,3,17,-119.81054,35.155758,NA,HUMAN_OBSERVATION,WASH,2010,947.4305,1087,5000,15530
177688,Agelaius tricolor,Aves,Passeriformes,2016,1,13,-120.62203,37.167942,200,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
177689,Agelaius tricolor,Aves,Passeriformes,2020,2,1,-120.89854,36.630684,50,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
177925,Buteo swainsoni,Aves,Accipitriformes,2018,3,16,-120.62203,37.167942,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
177933,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,2,18,-120.62001,37.182293,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
177956,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,4,23,-118.05599,36.562325,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,5000,14127
178080,Agelaius tricolor,Aves,Passeriformes,2018,2,11,-120.864456,36.715714,100,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
178154,Melanerpes uropygialis,Aves,Piciformes,2013,4,22,-114.6066,32.720795,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
178197,Agelaius tricolor,Aves,Passeriformes,2019,4,14,-119.55631,34.90029,4,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,5000,10399
178200,Empidonax traillii,Aves,Passeriformes,1977,5,26,-115.292694,35.268276,1,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565,5000,54933
178201,Agelaius tricolor,Aves,Passeriformes,2018,5,31,-120.62001,37.182293,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
178222,Agelaius tricolor,Aves,Passeriformes,2016,5,18,-121.06447,37.02791,1,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727,5000,4436
178222,Agelaius tricolor,Aves,Passeriformes,2016,5,18,-121.06447,37.02791,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,5000,11639
178222,Agelaius tricolor,Aves,Passeriformes,2016,5,18,-121.06447,37.02791,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,5000,5692
178222,Agelaius tricolor,Aves,Passeriformes,2016,5,18,-121.06447,37.02791,1,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971,5000,4760
178234,Melanerpes uropygialis,Aves,Piciformes,2020,2,17,-114.56045,34.78898,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,5000,16707
178250,Buteo swainsoni,Aves,Accipitriformes,2019,11,24,-120.62203,37.167942,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
178260,Buteo swainsoni,Aves,Accipitriformes,2018,3,29,-120.62203,37.167942,10,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
178408,Buteo swainsoni,Aves,Accipitriformes,2010,5,9,-120.62203,37.167942,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
178411,Buteo swainsoni,Aves,Accipitriformes,2015,5,28,-121.06447,37.02791,1,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727,5000,4436
178411,Buteo swainsoni,Aves,Accipitriformes,2015,5,28,-121.06447,37.02791,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929,5000,11639
178411,Buteo swainsoni,Aves,Accipitriformes,2015,5,28,-121.06447,37.02791,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938,5000,5692
178411,Buteo swainsoni,Aves,Accipitriformes,2015,5,28,-121.06447,37.02791,1,HUMAN_OBSERVATION,ROMERO,2011,451.0401,971,5000,4760
178547,Gymnogyps californianus,Aves,Accipitriformes,2019,3,9,-119.37666,34.90416,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
178605,Agelaius tricolor,Aves,Passeriformes,2017,5,6,-121.21103,37.48008,12,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,5000,68965
178629,Gymnogyps californianus,Aves,Accipitriformes,1985,8,10,-119.36593,34.898216,3,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
178728,Agelaius tricolor,Aves,Passeriformes,2020,1,16,-119.55631,34.90029,20,HUMAN_OBSERVATION,HWY166,2004,65.16033,856,5000,10399
178800,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,2,17,-120.89854,36.630684,1,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
